node,reciprocity,out_weight,in_weight
0,0.550186799501868,1806.0,2209.0
362,0.43964562569213733,506.0,397.0
158,0.5051903114186851,1144.0,1168.0
385,0.4814264487369985,10470.0,9720.0
162,0.5502063273727648,981.0,1200.0
219,0.3567567567567568,714.0,396.0
26,0.5125790220616695,3778.0,3973.0
289,0.704014598540146,811.0,1929.0
348,0.4887401095556908,840.0,803.0
442,0.583922261484099,471.0,661.0
149,0.4105960264900662,1246.0,868.0
1,0.6086956521739131,153.0,238.0
260,0.7980553477935677,270.0,1067.0
35,0.33253855897474105,8958.0,4463.0
34,0.6858196343524351,2045.0,4464.0
344,0.3237410071942446,564.0,270.0
263,0.39759036144578314,150.0,99.0
68,0.6082289803220036,219.0,340.0
129,0.4658385093167702,172.0,150.0
55,0.45652173913043476,250.0,210.0
36,0.5951219512195122,4980.0,7320.0
369,0.47879167318829235,3330.0,3059.0
14,0.4642206609419724,2059.0,1784.0
340,0.1130921167628037,5074.0,647.0
33,0.514944102213096,2126.0,2257.0
334,0.5983122362869199,476.0,709.0
207,0.46502057613168724,2860.0,2486.0
138,0.5249064209617046,1650.0,1823.0
98,0.7412309728656519,391.0,1120.0
478,0.27225806451612905,564.0,211.0
292,0.658493870402802,585.0,1128.0
125,0.48241862675219765,4357.0,4061.0
296,0.4842105263157895,1470.0,1380.0
137,0.4641860465116279,576.0,499.0
190,0.49460431654676257,281.0,275.0
20,0.49930651872399445,361.0,360.0
104,0.4865039599159528,9531.0,9030.0
2,0.5279672578444747,4498.0,5031.0
305,0.5548245614035088,1827.0,2277.0
197,0.5838343353373413,623.0,874.0
168,0.41198858230256896,618.0,433.0
250,0.7702909647779479,150.0,503.0
359,0.6102756892230576,311.0,487.0
504,0.3183023872679045,257.0,120.0
271,0.48776737033412554,3664.0,3489.0
169,0.4585537918871252,921.0,780.0
517,0.1447415329768271,2399.0,406.0
469,0.37066246056782337,399.0,235.0
165,0.676048858204992,610.0,1273.0
211,0.8056523422377081,502.0,2081.0
299,0.5555555555555556,3840.0,4800.0
416,0.5714285714285714,90.0,120.0
50,0.6548672566371682,234.0,444.0
38,0.4791494062413698,1886.0,1735.0
234,0.5255138709213741,3301.0,3656.0
81,0.4781852442382954,3600.0,3299.0
195,0.3755223880597015,1046.0,629.0
253,0.8,30.0,120.0
471,0.5469893078221723,805.0,972.0
220,0.3622848200312989,815.0,463.0
276,0.12637362637362637,159.0,23.0
11,0.46469465648854963,561.0,487.0
75,0.4498044328552803,844.0,690.0
270,0.4717330861909175,570.0,509.0
41,0.4978138663335415,804.0,797.0
422,0.5003926495994974,3181.0,3186.0
56,0.7115384615384616,30.0,74.0
511,0.4858623939679548,1091.0,1031.0
432,0.4488795518207283,787.0,641.0
473,0.5,90.0,90.0
146,0.589041095890411,360.0,516.0
198,0.44873776403915505,1070.0,871.0
3,0.4719314938154139,2220.0,1984.0
525,0.0,184.0,0.0
205,0.4940558473873376,1830.0,1787.0
173,0.5981308411214953,1290.0,1920.0
262,0.5742035742035742,548.0,739.0
325,0.48692515779981965,569.0,540.0
383,0.49412365866121616,990.0,967.0
136,0.4661590661882884,32883.0,28714.0
109,0.25925925925925924,4280.0,1498.0
134,0.5486792452830188,598.0,727.0
315,0.855811062771908,464.0,2754.0
4,0.4541864139020537,691.0,575.0
293,0.5469285648105253,4890.0,5903.0
21,0.2792022792022792,253.0,98.0
559,0.5666666666666667,390.0,510.0
208,0.5459533607681756,331.0,398.0
170,0.46514285714285714,7020.0,6105.0
181,0.4972067039106145,90.0,89.0
268,0.5863970588235294,450.0,638.0
185,0.4,90.0,60.0
5,0.42105263157894735,1320.0,960.0
520,0.5555555555555556,120.0,150.0
22,0.5647719762062128,1317.0,1709.0
311,0.5978552278820375,150.0,223.0
235,0.2926829268292683,377.0,156.0
6,0.6164229471316085,341.0,548.0
300,0.23560767590618337,717.0,221.0
419,0.5098168619039762,2971.0,3090.0
396,0.7115384615384616,300.0,740.0
320,0.47389162561576353,2670.0,2405.0
444,0.06818181818181818,410.0,30.0
245,0.3829787234042553,87.0,54.0
420,0.5142857142857142,510.0,540.0
80,0.4640730448590711,2700.0,2338.0
10,0.4827586206896552,1800.0,1680.0
284,0.5025272678903964,1870.0,1889.0
8,0.46218487394957986,64.0,55.0
9,0.5104813664596274,2522.0,2630.0
349,0.5331360946745562,789.0,901.0
412,0.25075528700906347,992.0,332.0
355,0.6401114206128133,646.0,1149.0
491,0.6231155778894473,150.0,248.0
87,0.0,0.0,0.0
166,0.4523809523809524,690.0,570.0
7,0.0,0.0,0.0
375,0.46190476190476193,3390.0,2910.0
111,0.49247049247049246,2494.0,2420.0
427,0.6173139158576052,473.0,763.0
339,0.4958364875094625,3330.0,3275.0
63,0.4002361275088548,1016.0,678.0
108,0.3559322033898305,722.0,399.0
508,0.6008869179600886,180.0,271.0
321,0.5411089866156787,480.0,566.0
72,0.5714692888698875,6014.0,8020.0
122,0.9090909090909091,30.0,300.0
556,0.2,120.0,30.0
306,0.5539182853315472,666.0,827.0
371,0.5462184873949579,702.0,845.0
523,0.29411764705882354,288.0,120.0
